bs,discount,num_features,num_selected,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim jog,sim sit,sim bike,sim downstairs,sim write,svm jog,svm sit,svm bike,svm downstairs,svm write,knn jog,knn sit,knn bike,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
64,0.9,256,2,0.0001,1,1,1,1,1,0.6944444444444444,3,0.8207050923335198,0.8181309457190823,0.812870733072188,1.0,0.6666666666666666,1.0,0.6,0.8,0.4,0.42857142857142855,0.6,0.9770565193060996,0.34862898712926693,0.8242865137101287,0.9804141018466704,0.9731393396754336,0.9843312814773363,0.35814213766088415,0.8019026301063235,0.9681029658645776,0.9781757134862898,0.8802462227196418,0.4336877448237269,0.8377168438724119,0.9608282036933408,0.9518746502518187,12,12,0.8333333333333334,0.9166666666666666,0.5833333333333334,1.0,0.75,0.6666666666666666
64,0.9,256,2,0.0001,1,1,1,1,1,0.6944444444444444,4,0.8961926091825307,0.921612541993281,0.9182530795072789,1.0,0.6666666666666666,1.0,0.6,0.8,0.4,0.42857142857142855,0.6,0.8404255319148937,0.8471444568868981,0.8269876819708847,0.9843225083986562,0.9820828667413214,0.8656215005599104,0.864501679731243,0.9283314669652856,0.9781634938409854,0.971444568868981,0.8812989921612542,0.8818589025755879,0.8857782754759238,0.9675251959686451,0.9748040313549832,7,7,0.8571428571428571,1.0,0.5714285714285714,1.0,0.8571428571428571,0.8571428571428571
64,0.9,256,2,0.0001,1,1,1,1,1,0.6944444444444444,5,0.923921568627451,0.9254901960784314,0.9365826330532213,1.0,0.6666666666666666,1.0,0.6,0.8,0.4,0.42857142857142855,0.6,0.9490196078431372,0.8722689075630252,0.849859943977591,0.9854341736694678,0.9630252100840336,0.9742296918767507,0.9047619047619048,0.9092436974789916,0.9697478991596639,0.869467787114846,0.9747899159663865,0.8823529411764706,0.8873949579831932,0.965266106442577,0.973109243697479,2,2,True,True,True,True,1.0,0.5
64,0.9,256,2,0.0001,1,2,1,1,1,0.8055555555555556,1,0.7760760201229737,0.7760760201229737,0.7760760201229737,1.0,1.0,1.0,0.2,0.6,0.6,0.42857142857142855,1.0,0.5304639463387367,0.8015651201788708,0.6752375628842929,0.9748462828395752,0.8982671883733929,0.5304639463387367,0.8015651201788708,0.6752375628842929,0.9748462828395752,0.8982671883733929,0.5304639463387367,0.8015651201788708,0.6752375628842929,0.9748462828395752,0.8982671883733929,28,28,0.5357142857142857,0.8571428571428571,0.17857142857142858,1.0,0.6071428571428571,0.6428571428571429
64,0.9,256,2,0.0001,1,2,1,1,1,0.8055555555555556,2,0.8656599552572707,0.8818791946308725,0.8942953020134228,1.0,1.0,1.0,0.2,0.6,0.6,0.42857142857142855,1.0,0.9843400447427293,0.8070469798657718,0.6873601789709173,0.959731543624161,0.889821029082774,0.9876957494407159,0.8137583892617449,0.7667785234899329,0.9664429530201343,0.8747203579418344,0.912751677852349,0.8008948545861297,0.8657718120805369,0.9664429530201343,0.9256152125279642,20,20,0.6,0.9,0.4,1.0,0.55,0.7
64,0.9,256,2,0.0001,1,2,1,1,1,0.8055555555555556,3,0.8609960828203693,0.8608841634023503,0.8813654168998322,1.0,1.0,1.0,0.2,0.6,0.6,0.42857142857142855,1.0,0.9826524902070509,0.7991046446558477,0.6866256295467263,0.9535534415221041,0.8830442081701175,0.9938444320089536,0.8024622271964186,0.6703973139339675,0.965864577504197,0.8718522663682149,0.9809736989367656,0.8035814213766088,0.7381085618354785,0.9764969222160045,0.9076664801343033,12,12,0.5833333333333334,1.0,0.25,1.0,0.5833333333333334,0.75
64,0.9,256,2,0.0001,1,2,1,1,1,0.8055555555555556,4,0.8752519596864502,0.8746920492721164,0.8827547592385219,1.0,1.0,1.0,0.2,0.6,0.6,0.42857142857142855,1.0,0.9759238521836506,0.7956326987681971,0.7049272116461366,0.9652855543113102,0.9344904815229563,0.9927211646136618,0.8029115341545353,0.7010078387458006,0.9680851063829787,0.9087346024636058,0.9809630459126539,0.7530795072788354,0.7592385218365062,0.9804031354983203,0.9400895856662934,7,7,0.42857142857142855,1.0,0.2857142857142857,1.0,0.42857142857142855,0.7142857142857143
64,0.9,256,2,0.0001,1,2,1,1,1,0.8055555555555556,5,0.875406162464986,0.8784313725490196,0.8849299719887955,1.0,1.0,1.0,0.2,0.6,0.6,0.42857142857142855,1.0,0.973109243697479,0.8005602240896359,0.7081232492997199,0.9663865546218487,0.9288515406162465,0.9921568627450981,0.8235294117647058,0.6969187675070028,0.9742296918767507,0.9053221288515406,0.9826330532212885,0.7624649859943977,0.7591036414565826,0.9803921568627451,0.9400560224089636,2,2,False,True,False,True,False,True
64,0.9,256,2,0.0001,1,3,1,1,1,0.8888888888888888,1,0.7674678591391839,0.7674678591391839,0.7674678591391839,1.0,1.0,1.0,1.0,1.0,0.6,0.8571428571428571,0.8,0.9312465064281722,0.29793180547792064,0.7467859139183901,0.8753493571827837,0.9860257126886529,0.9312465064281722,0.29793180547792064,0.7467859139183901,0.8753493571827837,0.9860257126886529,0.9312465064281722,0.29793180547792064,0.7467859139183901,0.8753493571827837,0.9860257126886529,28,28,0.6428571428571429,0.8928571428571429,0.10714285714285714,0.9642857142857143,0.5714285714285714,0.7857142857142857
64,0.9,256,2,0.0001,1,3,1,1,1,0.8888888888888888,2,0.7906040268456376,0.7925055928411633,0.7803131991051454,1.0,1.0,1.0,1.0,1.0,0.6,0.8571428571428571,0.8,0.9753914988814317,0.4099552572706935,0.8104026845637584,0.7684563758389261,0.9888143176733781,0.9798657718120806,0.39093959731543626,0.8148769574944071,0.7874720357941835,0.9893736017897091,0.988255033557047,0.33165548098434006,0.8428411633109619,0.7455257270693513,0.9932885906040269,20,20,0.65,0.9,0.35,0.95,0.6,0.8
64,0.9,256,2,0.0001,1,3,1,1,1,0.8888888888888888,3,0.8659205372132065,0.8588696138780079,0.7851147174034695,1.0,1.0,1.0,1.0,1.0,0.6,0.8571428571428571,0.8,0.9585898153329603,0.7593732512590935,0.8186905428091774,0.8142137660884163,0.978735310576385,0.8030218242865137,0.8612199216564074,0.8360380526021265,0.8444320089535534,0.9496362618914381,0.9132624510352546,0.3698936765528819,0.8813654168998322,0.7683268047006155,0.9927252378287633,12,12,0.5833333333333334,0.9166666666666666,0.5,0.9166666666666666,0.5833333333333334,0.6666666666666666
64,0.9,256,2,0.0001,1,3,1,1,1,0.8888888888888888,4,0.8898096304591265,0.9111982082866741,0.8849944008958567,1.0,1.0,1.0,1.0,1.0,0.6,0.8571428571428571,0.8,0.9596864501679732,0.8756998880179171,0.8174692049272116,0.8331466965285554,0.9630459126539753,0.9669652855543113,0.8790593505039194,0.8846584546472565,0.8768197088465846,0.948488241881299,0.9669652855543113,0.7726763717805151,0.8992161254199328,0.8017917133258678,0.9843225083986562,7,7,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.8571428571428571,1.0,0.7142857142857143
64,0.9,256,2,0.0001,1,3,1,1,1,0.8888888888888888,5,0.9028571428571428,0.9226890756302522,0.9058823529411765,1.0,1.0,1.0,1.0,1.0,0.6,0.8571428571428571,0.8,0.9563025210084034,0.8773109243697479,0.8470588235294118,0.8784313725490196,0.9551820728291317,0.9686274509803922,0.8773109243697479,0.8985994397759104,0.9260504201680673,0.9428571428571428,0.9658263305322129,0.7703081232492998,0.9030812324929972,0.9058823529411765,0.984313725490196,2,2,0.5,1.0,0.5,1.0,True,True
64,0.9,256,2,0.0001,1,4,1,1,1,0.8055555555555556,1,0.4709893795416434,0.4709893795416434,0.4709893795416434,1.0,1.0,1.0,1.0,0.2,0.4,0.7142857142857143,0.8,0.6562325321408609,0.045835662381218556,0.09390721073225265,0.5589714924538849,1.0,0.6562325321408609,0.045835662381218556,0.09390721073225265,0.5589714924538849,1.0,0.6562325321408609,0.045835662381218556,0.09390721073225265,0.5589714924538849,1.0,28,28,0.5,1.0,0.39285714285714285,1.0,0.39285714285714285,0.9642857142857143
64,0.9,256,2,0.0001,1,4,1,1,1,0.8055555555555556,2,0.5447427293064877,0.5328859060402684,0.6496644295302013,1.0,1.0,1.0,1.0,0.2,0.4,0.7142857142857143,0.8,0.8316554809843401,0.08333333333333333,0.1487695749440716,0.6599552572706935,1.0,0.8221476510067114,0.04865771812080537,0.15715883668903805,0.6364653243847874,1.0,0.8210290827740492,0.7041387024608501,0.12863534675615212,0.6191275167785235,0.9753914988814317,20,20,0.45,0.95,0.4,1.0,0.6,0.75
64,0.9,256,2,0.0001,1,4,1,1,1,0.8055555555555556,3,0.6257414661443761,0.621376608841634,0.8029099048684947,1.0,1.0,1.0,1.0,0.2,0.4,0.7142857142857143,0.8,0.8606603245663123,0.1085618354784555,0.3379966424174594,0.821488528259653,1.0,0.8365976496922216,0.06267487409065473,0.39563514269725797,0.812534974818131,0.9994404029099049,0.8489087856743145,0.7386681589255736,0.8136541689983212,0.6586457750419697,0.9546726357022943,12,12,0.5,1.0,0.4166666666666667,1.0,0.8333333333333334,0.75
64,0.9,256,2,0.0001,1,4,1,1,1,0.8055555555555556,4,0.7278835386338186,0.6596864501679731,0.8201567749160135,1.0,1.0,1.0,1.0,0.2,0.4,0.7142857142857143,0.8,0.8762597984322509,0.5447928331466966,0.39473684210526316,0.8236282194848824,1.0,0.8561030235162373,0.04703247480403135,0.5358342665173572,0.8594624860022396,1.0,0.8488241881298992,0.7474804031354984,0.812989921612542,0.7278835386338186,0.9636058230683091,7,7,0.5714285714285714,1.0,0.5714285714285714,1.0,0.7142857142857143,0.8571428571428571
