samples_per_class,discount,num_features,num_selected,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim sit,sim bike,sim jog,sim downstairs,sim write,svm sit,svm bike,svm jog,svm downstairs,svm write,knn sit,knn bike,knn jog,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
12,0.9,128,2,0.0001,2,1,1,1,same,0.23125,1,0.7852431525992174,0.7852431525992174,0.7852431525992174,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.85,0.10844046953605366,0.9636668529904975,0.9290106204583566,0.9379541643376188,0.9871436556735607,0.10844046953605366,0.9636668529904975,0.9290106204583566,0.9379541643376188,0.9871436556735607,0.10844046953605366,0.9636668529904975,0.9290106204583566,0.9379541643376188,0.9871436556735607,152,152,0.6513157894736842,0.7631578947368421,0.4868421052631579,0.9868421052631579,0.6973684210526315,0.9473684210526315
12,0.9,128,2,0.0001,2,1,1,1,same,0.23125,2,0.8263982102908277,0.8201342281879195,0.9187919463087248,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.85,0.8780760626398211,0.46196868008948544,0.906599552572707,0.9194630872483222,0.9658836689038032,0.8763982102908278,0.5995525727069351,0.7695749440715883,0.8859060402684564,0.9692393736017897,0.8227069351230425,0.9524608501118568,0.8942953020134228,0.9608501118568232,0.9636465324384788,144,144,0.5833333333333334,0.8888888888888888,0.5138888888888888,0.9722222222222222,0.75,0.9027777777777778
12,0.9,128,2,0.0001,2,1,1,1,same,0.23125,3,0.8276440962506995,0.7627308337996642,0.8888640179071069,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.85,0.7951874650251819,0.5629546726357023,0.8959149412423055,0.8908785674314493,0.9932848349188584,0.48740906547285956,0.5847789591494125,0.8740906547285954,0.8701734750979295,0.9972020145495244,0.7929490766648013,0.9440402909904868,0.893676552881925,0.8287632904308898,0.9848908785674314,136,136,0.5955882352941176,0.9485294117647058,0.5441176470588235,0.9705882352941176,0.7647058823529411,0.8897058823529411
12,0.9,128,2,0.0001,2,1,1,1,same,0.23125,4,0.8596864501679731,0.8851063829787233,0.9033594624860022,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.85,0.883538633818589,0.6192609182530795,0.8908174692049272,0.9316909294512878,0.973124300111982,0.8689809630459127,0.8202687569988801,0.8185890257558791,0.9400895856662934,0.9776035834266518,0.8527435610302352,0.9462486002239642,0.8891377379619261,0.8477043673012318,0.9809630459126539,128,128,0.6328125,0.90625,0.5703125,0.96875,0.8203125,0.859375
12,0.9,128,2,0.0001,2,1,1,1,same,0.23125,5,0.848515406162465,0.8718207282913165,0.9000560224089635,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.85,0.8526610644257703,0.6638655462184874,0.8431372549019608,0.8941176470588236,0.988795518207283,0.7058823529411765,0.8711484593837535,0.8879551820728291,0.8957983193277311,0.9983193277310924,0.8549019607843137,0.946218487394958,0.8789915966386554,0.838655462184874,0.9815126050420168,120,120,0.625,0.9,0.55,0.9416666666666667,0.825,0.8916666666666667
6,0.9,128,2,0.0001,2,1,1,1,same,0.23125,1,0.7341531581889323,0.7341531581889323,0.7341531581889323,0.65,0.0,0.55,0.65,0.0,0.0,0.0,0.0,0.6584684181106764,0.5282280603689212,0.9821129122414757,0.6176634991615427,0.8842929010620458,0.6584684181106764,0.5282280603689212,0.9821129122414757,0.6176634991615427,0.8842929010620458,0.6584684181106764,0.5282280603689212,0.9821129122414757,0.6176634991615427,0.8842929010620458,152,152,0.5986842105263158,0.7236842105263158,0.3355263157894737,1.0,0.6381578947368421,0.7763157894736842
6,0.9,128,2,0.0001,2,1,1,1,same,0.23125,2,0.5587248322147651,0.5397091722595079,0.7402684563758389,0.65,0.0,0.55,0.65,0.0,0.0,0.0,0.0,0.12080536912751678,0.6610738255033557,0.819351230425056,0.2186800894854586,0.9737136465324385,0.09172259507829977,0.5592841163310962,0.9183445190156599,0.1303131991051454,0.9988814317673378,0.7181208053691275,0.685682326621924,0.8937360178970917,0.49328859060402686,0.9105145413870246,144,144,0.5277777777777778,0.8194444444444444,0.4513888888888889,0.9930555555555556,0.6944444444444444,0.8541666666666666
6,0.9,128,2,0.0001,2,1,1,1,same,0.23125,3,0.6671516508114158,0.587465025181869,0.7040850587576944,0.65,0.0,0.55,0.65,0.0,0.0,0.0,0.0,0.5909345271404589,0.6094012311135982,0.8740906547285954,0.27252378287632906,0.9888080581980974,0.1152770005595971,0.5562395075545608,0.9524342473419138,0.31337437045327365,1.0,0.7073307218802463,0.4532736429770565,0.9138220481253497,0.5249020705092333,0.9210968102965864,136,136,0.5294117647058824,0.8455882352941176,0.45588235294117646,0.9852941176470589,0.6691176470588235,0.8823529411764706
6,0.9,128,2,0.0001,2,1,1,1,same,0.23125,4,0.5884658454647257,0.597872340425532,0.7222844344904815,0.65,0.0,0.55,0.65,0.0,0.0,0.0,0.0,0.13213885778275475,0.561030235162374,0.9328107502799552,0.33202687569988804,0.9843225083986562,0.0677491601343785,0.480963045912654,0.9815229563269877,0.4596864501679731,0.9994400895856663,0.7267637178051511,0.43505039193729006,0.9456886898096305,0.5834266517357223,0.9204927211646137,128,128,0.53125,0.828125,0.46875,0.984375,0.65625,0.875
6,0.9,128,2,0.0001,2,1,1,1,same,0.23125,5,0.6077310924369748,0.6200560224089636,0.7766946778711484,0.65,0.0,0.55,0.65,0.0,0.0,0.0,0.0,0.10756302521008404,0.5490196078431373,0.9591036414565827,0.44425770308123247,0.9787114845938375,0.06946778711484594,0.4700280112044818,0.9854341736694678,0.5764705882352941,0.9988795518207283,0.7165266106442577,0.6403361344537815,0.9467787114845938,0.6588235294117647,0.9210084033613445,120,120,0.55,0.8,0.5166666666666667,0.9833333333333333,0.75,0.8916666666666667
