samples_per_class,discount,num_features,num_selected,n_support,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,Open Door 2,Close Door 2,Close Fridge,Close Dishwasher,Close Drawer 1,Close Drawer 2,Close Drawer 3,Clean Table,Drink from Cup,Toggle Switch,sim Open Door 1,sim Close Door 1,sim Open Fridge,sim Open Dishwasher,sim Open Drawer 1,sim Open Drawer 2,sim Open Drawer 3,svm Open Door 1,svm Close Door 1,svm Open Fridge,svm Open Dishwasher,svm Open Drawer 1,svm Open Drawer 2,svm Open Drawer 3,knn Open Door 1,knn Close Door 1,knn Open Fridge,knn Open Dishwasher,knn Open Drawer 1,knn Open Drawer 2,knn Open Drawer 3,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
10,0.7,128,6,7,0.0,2,4,1,2,different,0.195,1,0.5955734406438632,0.5955734406438632,0.5955734406438632,0.55,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.3,0.2,0.647887323943662,0.971830985915493,0.11267605633802817,0.49295774647887325,0.3380281690140845,0.6056338028169014,1.0,0.647887323943662,0.971830985915493,0.11267605633802817,0.49295774647887325,0.3380281690140845,0.6056338028169014,1.0,0.647887323943662,0.971830985915493,0.11267605633802817,0.49295774647887325,0.3380281690140845,0.6056338028169014,1.0,190,190,0.5894736842105263,0.5789473684210527,0.2894736842105263,0.8157894736842105,0.7157894736842105,0.8
10,0.7,128,6,7,0.0,2,4,1,2,different,0.195,2,0.5877551020408164,0.5857142857142857,0.6408163265306123,0.55,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.3,0.2,0.5428571428571428,0.9571428571428572,0.5,0.35714285714285715,0.22857142857142856,0.5428571428571428,0.9857142857142858,0.5571428571428572,0.9857142857142858,0.37142857142857144,0.5571428571428572,0.11428571428571428,0.5285714285714286,0.9857142857142858,0.5571428571428572,0.9714285714285714,0.44285714285714284,0.5428571428571428,0.38571428571428573,0.6,0.9857142857142858,180,180,0.7166666666666667,0.5555555555555556,0.65,0.8277777777777777,0.7333333333333333,0.7111111111111111
10,0.7,128,6,7,0.0,2,4,1,2,different,0.195,3,0.6521739130434783,0.6790890269151139,0.7018633540372671,0.55,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.3,0.2,0.5362318840579711,1.0,0.4782608695652174,0.21739130434782608,0.7681159420289855,0.5797101449275363,0.9855072463768116,0.5507246376811594,1.0,0.5072463768115942,0.2753623188405797,0.8840579710144928,0.5507246376811594,0.9855072463768116,0.7101449275362319,0.927536231884058,0.5652173913043478,0.5362318840579711,0.5797101449275363,0.5942028985507246,1.0,170,170,0.7352941176470589,0.6,0.7294117647058823,0.7705882352941177,0.7470588235294118,0.8117647058823529
10,0.7,128,6,7,0.0,2,4,1,2,different,0.195,4,0.634453781512605,0.6638655462184874,0.726890756302521,0.55,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.3,0.2,0.5882352941176471,1.0,0.3382352941176471,0.39705882352941174,0.5441176470588235,0.5882352941176471,0.9852941176470589,0.6617647058823529,1.0,0.4411764705882353,0.4411764705882353,0.5441176470588235,0.5735294117647058,0.9852941176470589,0.8088235294117647,0.9411764705882353,0.5735294117647058,0.5588235294117647,0.6029411764705882,0.6029411764705882,1.0,160,160,0.75625,0.6,0.725,0.7875,0.775,0.80625
10,0.7,128,6,7,0.0,2,4,1,2,different,0.195,5,0.6801705756929638,0.6844349680170576,0.7142857142857143,0.55,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.3,0.2,0.582089552238806,1.0,0.4925373134328358,0.3880597014925373,0.7313432835820896,0.582089552238806,0.9850746268656716,0.6119402985074627,0.9850746268656716,0.7313432835820896,0.34328358208955223,0.5970149253731343,0.5373134328358209,0.9850746268656716,0.6567164179104478,0.9850746268656716,0.7014925373134329,0.4925373134328358,0.6268656716417911,0.5671641791044776,0.9701492537313433,150,150,0.7,0.5666666666666667,0.7466666666666667,0.8066666666666666,0.78,0.8133333333333334
10,0.7,128,6,7,0.0,2,4,1,3,same,0.035,1,0.6420545746388443,0.6420545746388443,0.6420545746388443,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.05,0.6404494382022472,0.2808988764044944,0.6067415730337079,0.38202247191011235,0.9213483146067416,0.8202247191011236,0.8426966292134831,0.6404494382022472,0.2808988764044944,0.6067415730337079,0.38202247191011235,0.9213483146067416,0.8202247191011236,0.8426966292134831,0.6404494382022472,0.2808988764044944,0.6067415730337079,0.38202247191011235,0.9213483146067416,0.8202247191011236,0.8426966292134831,190,190,0.38421052631578945,0.6578947368421053,0.07894736842105263,1.0,0.5947368421052631,0.7473684210526316
10,0.7,128,6,7,0.0,2,4,1,3,same,0.035,2,0.6590909090909091,0.6136363636363636,0.5340909090909091,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.05,0.4659090909090909,0.5568181818181818,0.4659090909090909,0.6136363636363636,0.8636363636363636,0.7840909090909091,0.8636363636363636,0.6590909090909091,0.17045454545454544,0.3181818181818182,0.5795454545454546,0.8977272727272727,0.7954545454545454,0.875,0.5,0.32954545454545453,0.3977272727272727,0.4318181818181818,0.5454545454545454,0.6818181818181818,0.8522727272727273,180,180,0.39444444444444443,0.6222222222222222,0.18888888888888888,0.9611111111111111,0.6111111111111112,0.7777777777777778
10,0.7,128,6,7,0.0,2,4,1,3,same,0.035,3,0.6568144499178982,0.6091954022988506,0.5927750410509032,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.05,0.7701149425287356,0.3103448275862069,0.45977011494252873,0.5517241379310345,0.9655172413793104,0.6781609195402298,0.8620689655172413,0.896551724137931,0.1839080459770115,0.3103448275862069,0.4482758620689655,0.9540229885057471,0.5977011494252874,0.8735632183908046,0.5977011494252874,0.3448275862068966,0.367816091954023,0.41379310344827586,0.896551724137931,0.6551724137931034,0.8735632183908046,170,170,0.38823529411764707,0.6058823529411764,0.3588235294117647,0.8764705882352941,0.6176470588235294,0.8764705882352941
10,0.7,128,6,7,0.0,2,4,1,3,same,0.035,4,0.7624584717607974,0.7059800664451827,0.6428571428571429,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.05,0.7441860465116279,0.9069767441860465,0.6976744186046512,0.5116279069767442,0.9186046511627907,0.686046511627907,0.872093023255814,0.4069767441860465,0.9302325581395349,0.5930232558139535,0.4418604651162791,0.9186046511627907,0.7674418604651163,0.8837209302325582,0.5930232558139535,0.5116279069767442,0.4418604651162791,0.46511627906976744,0.9186046511627907,0.686046511627907,0.8837209302325582,160,160,0.325,0.64375,0.3375,0.775,0.6125,0.875
10,0.7,128,6,7,0.0,2,4,1,3,same,0.035,5,0.746218487394958,0.7109243697478992,0.6974789915966386,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.05,0.49411764705882355,0.9294117647058824,0.6941176470588235,0.5294117647058824,0.8941176470588236,0.788235294117647,0.8941176470588236,0.43529411764705883,0.9411764705882353,0.47058823529411764,0.4823529411764706,0.9411764705882353,0.8,0.9058823529411765,0.5411764705882353,0.6941176470588235,0.5411764705882353,0.5294117647058824,0.9294117647058824,0.7294117647058823,0.9176470588235294,150,150,0.34,0.6266666666666667,0.36666666666666664,0.7933333333333333,0.6266666666666667,0.9
